sku,anuncio_id,titulo,fotos,atributos_preenchidos,atributos_totais,visitas_30d,vendas_30d,estoque
SKU-1001,ANUN-0001,Vara de pesca,2,4,12,340,0,25
SKU-1002,ANUN-0002,Molinete de pesca 5000 com carretel de fibra e 5 rolamentos,6,12,12,890,31,12
SKU-1003,ANUN-0003,Caixa termica 45 litros com alca reforcada e dreno lateral,5,9,12,410,14,9
SKU-1004,ANUN-0004,Assento concha,1,3,10,12,0,40
SKU-1005,ANUN-0005,"Linha multifilamento 0,30mm 300m resistencia 30lb verde",4,10,10,1250,47,18
SKU-1006,ANUN-0006,Anzol chato niquelado numero 6 cartela com 50 unidades,3,8,10,95,6,3
SKU-1007,ANUN-0007,Rede de pesca,2,2,11,8,0,15
SKU-1008,ANUN-0008,Isca artificial de superficie 9cm 12g cor holografica,7,11,11,620,22,7
SKU-1009,ANUN-0009,Kit apetrechos de pesca com estojo organizador 120 pecas,5,10,12,1580,0,30
SKU-1010,ANUN-0010,Bomba de aeracao portatil para viveiro 12v com mangueira,4,7,12,230,9,4
